日期,契約名稱,身份別,多方交易口數,多方契約金額,空方交易口數,空方契約金額,多空淨額交易口數,多空淨額契約金額,多方未平倉口數,多方未平倉契約金額,空方未平倉口數,空方未平倉契約金額,多空淨額未平倉口數,多空淨額未平倉契約金額
2023/01/03,TX,自營商,11607,32730868,11232,31687888,375,1042980,11665,33183959,5507,15663057,6158,17520902
2023/01/03,TE,投信,0,0,0,0,0,0,138,359297,0,0,138,359297
2023/01/03,TE,自營商,445,1146331,260,667861,185,478470,506,1317038,500,1301720,6,15318
2023/01/03,TX,外資,64139,180805331,67381,189974741,-3242,-9169410,33550,95481699,17606,50098749,15944,45382950
2023/01/03,MTX,自營商,16836,11869124,15831,11152152,1005,716972,8521,6049304,2859,2030681,5662,4018623
2023/01/03,TE,外資,1129,2908532,1402,3612312,-273,-703780,1755,4569318,618,1609025,1137,2960293
2023/01/03,MTX,外資,116955,82406604,115161,81104255,1794,1302349,9316,6628095,3045,2165833,6271,4462262
2023/01/03,TX,投信,1314,3729805,1922,5469739,-608,-1739934,12524,35643304,23346,66442716,-10822,-30799412
2023/01/03,NQF,自營商,11,5997,13,7098,-2,-1100,24,13278,579,320332,-555,-307054
2023/01/03,NQF,外資,1028,563706,1103,604573,-75,-40867,76,42381,873,483100,-797,-440719
2023/01/03,MTX,投信,0,0,4,2819,-4,-2819,85,60478,22,15653,63,44825
2023/01/03,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/01/04,TX,自營商,10259,29175058,10013,28484148,246,690910,12014,34127113,5623,15967749,6391,18159364
2023/01/04,TX,投信,1939,5513768,1354,3847719,585,1666048,11178,31765640,21415,60857147,-10237,-29091507
2023/01/04,TX,外資,56758,161474154,58614,166747202,-1856,-5273048,30529,86756306,16441,46714308,14088,40041998
2023/01/04,TE,自營商,241,627129,202,525706,39,101422,484,1255431,477,1237535,7,17896
2023/01/04,MTX,自營商,11600,8246408,11006,7823109,594,423298,8297,5881867,1949,1380865,6348,4501002
2023/01/04,TE,外資,731,1901539,763,1985271,-32,-83731,1696,4400442,591,1533409,1105,2867033
2023/01/04,MTX,投信,5,3558,0,0,5,3558,90,63941,22,15630,68,48311
2023/01/04,TE,投信,0,0,0,0,0,0,138,358055,0,0,138,358055
2023/01/04,MTX,外資,95075,67629756,102314,72762852,-7239,-5133096,4699,3338327,5617,3989904,-918,-651577
2023/01/04,NQF,自營商,38,20772,29,15835,9,4937,24,13170,570,312788,-546,-299618
2023/01/04,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/01/05,TX,自營商,9511,27174884,8426,24078994,1085,3095890,12952,36994846,5493,15684291,7459,21310555
2023/01/05,TX,投信,796,2274830,776,2217325,20,57505,10442,29841148,20659,59039290,-10217,-29198142
2023/01/05,TX,外資,61176,174841922,58770,167956368,2406,6885554,32446,92722817,15952,45579640,16494,47143177
2023/01/05,TE,自營商,270,706460,374,977610,-104,-271150,425,1109811,522,1363529,-97,-253718
2023/01/05,TE,投信,0,0,0,0,0,0,138,360484,0,0,138,360484
2023/01/05,MTX,自營商,13575,9696135,12604,9002937,971,693198,10614,7568259,3227,2303387,7387,5264872
2023/01/05,MTX,投信,13,9287,0,0,13,9287,100,71445,19,13575,81,57870
2023/01/04,NQF,外資,1560,860387,1940,1068900,-380,-208513,22,12198,1199,658026,-1177,-645828
2023/01/05,TE,外資,1116,2918652,1005,2628592,111,290060,1678,4383272,462,1206836,1216,3176436
2023/01/05,MTX,外資,107652,76911601,103703,74082265,3949,2829336,7265,5190386,4234,3024239,3031,2166147
2023/01/05,NQF,自營商,25,13773,28,15421,-3,-1648,25,13740,574,315470,-549,-301730
2023/01/05,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/01/05,NQF,外資,1869,1028485,1687,926972,182,101513,57,31655,1052,578320,-995,-546665
2023/01/06,TX,自營商,7939,22735439,9033,25882600,-1094,-3147160,12650,36322344,6159,17681416,6491,18640928
2023/01/06,TX,外資,51035,146085639,53175,152228391,-2140,-6142751,33476,96181149,19122,54930981,14354,41250168
2023/01/06,TE,投信,0,0,0,0,0,0,138,362747,0,0,138,362747
2023/01/06,TX,投信,838,2407904,50,143658,788,2264245,10408,29904266,19837,56995668,-9429,-27091402
2023/01/06,MTX,投信,3,2155,0,0,3,2155,100,71830,16,11493,84,60337
2023/01/06,TE,自營商,343,899042,220,575839,123,323203,506,1329640,469,1232794,37,96846
2023/01/06,MTX,自營商,12609,9019436,11966,8562810,643,456626,11753,8422117,4227,3034883,7526,5387234
2023/01/06,TE,外資,949,2488277,996,2612209,-47,-123933,1642,4316161,473,1243328,1169,3072833
2023/01/06,MTX,外資,88947,63625034,82122,58720077,6825,4904957,13095,9405946,3239,2325615,9856,7080331
2023/01/06,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/01/06,NQF,自營商,41,22417,32,17430,9,4987,30,16305,570,309795,-540,-293490
2023/01/09,TX,自營商,12426,36238029,11481,33465698,945,2772331,12755,37631796,5378,15864148,7377,21767648
2023/01/09,TX,投信,1557,4586802,0,0,1557,4586802,10500,31006500,18372,54252516,-7872,-23246016
2023/01/06,NQF,外資,1306,713134,1645,898102,-339,-184968,27,14815,1361,739857,-1334,-725042
2023/01/09,TX,外資,63901,185985197,67047,195240337,-3146,-9255139,34449,101723884,21934,64758795,12515,36965089
2023/01/09,MTX,自營商,16411,11935898,15942,11598681,469,337217,11539,8490435,3308,2440947,8231,6049488
2023/01/09,TE,投信,8,21608,0,0,8,21608,146,397354,0,0,146,397354
2023/01/09,TE,外資,1100,2951328,1050,2820378,50,130950,1694,4610384,475,1292760,1219,3317624
2023/01/09,TE,自營商,294,787798,346,927355,-52,-139557,468,1273225,463,1259989,5,13236
2023/01/09,MTX,投信,3,2215,0,0,3,2215,100,73825,13,9597,87,64228
2023/01/09,MTX,外資,116116,84366893,106089,77045557,10027,7321336,17695,13063155,3040,2243275,14655,10819880
2023/01/10,TX,自營商,10588,31326223,10215,30213535,373,1112688,13288,39323376,5569,16474722,7719,22848654
2023/01/09,NQF,投信,0,0,0,0,0,0,0,0,0,0,0,0
2023/01/09,NQF,自營商,104,57991,166,92791,-62,-34799,30,16782,632,353541,-602,-336759
2023/01/09,NQF,外資,2405,1317892,2370,1299463,35,18428,38,21468,1337,748051,-1299,-726583
2023/01/10,TX,投信,676,2001299,75,221125,601,1780174,10885,32241370,18156,53777682,-7271,-21536312
2023/01/10,TE,自營商,287,784257,273,746177,14,38080,454,1241173,449,1227870,5,13303
2023/01/10,TE,投信,4,10932,0,0,4,10932,150,410250,0,0,150,410250
2023/01/10,TX,外資,53439,158175729,55843,165325634,-2404,-7149905,30759,91104098,21522,63734203,9237,27369895
2023/01/10,MTX,投信,2,1481,0,0,2,1481,100,74050,11,8146,89,65904
2023/01/10,MTX,自營商,13863,10252024,14354,10607434,-491,-355409,11232,8292105,3368,2492558,7864,5799547
2023/01/10,MTX,外資,83557,61844258,92193,68240616,-8636,-6396358,13423,9939248,3908,2892407,9515,7046841
2023/01/10,TE,外資,828,2262066,916,2503090,-88,-241024,1628,4452573,497,1359295,1131,3093278
